"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-21",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-22",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-23",,,"0.22",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-25",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-26",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-27",,,"0.12",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-28",,,"0.60",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-29",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-30",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-31",,,"0.01",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-01",,,"0.22",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-02",,,"1.55",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-03",,,"0.42",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-04",,,"0.47",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-05",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-06",,,"0.06",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-07",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-08",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-09",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-10",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-11",,,"0.03",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-12",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-13",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-14",,,"0.08",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-15",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-16",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-17",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-18",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-19",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-20",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-21",,,"0.65",
